"","X.1","X","X50_50","bad_behaviour_card","ball_receipt_outcome","ball_recovery_recovery_failure","block_deflection","block_offensive","block_save_block","carry_end_location","clearance_aerial_won","clearance_body_part","clearance_head","clearance_left_foot","clearance_other","clearance_right_foot","counterpress","dribble_outcome","dribble_overrun","duel_outcome","duel_type","duration","foul_committed_advantage","foul_committed_card","foul_committed_offensive","foul_committed_type","foul_won_advantage","foul_won_defensive","goalkeeper_body_part","goalkeeper_end_location","goalkeeper_outcome","goalkeeper_position","goalkeeper_technique","goalkeeper_type","id","index","injury_stoppage_in_chain","interception_outcome","location","match_id","minute","miscontrol_aerial_won","obv_against_after","obv_against_before","obv_against_net","obv_for_after","obv_for_before","obv_for_net","obv_total_net","off_camera","out","pass_aerial_won","pass_angle","pass_assisted_shot_id","pass_body_part","pass_cross","pass_cut_back","pass_end_location","pass_height","pass_inswinging","pass_length","pass_no_touch","pass_outcome","pass_outswinging","pass_pass_cluster_id","pass_pass_cluster_label","pass_pass_cluster_probability","pass_pass_success_probability","pass_recipient","pass_shot_assist","pass_switch","pass_technique","pass_through_ball","pass_type","period","play_pattern","player","player_id","position","possession","possession_team","possession_team_id","related_events","second","shot_aerial_won","shot_body_part","shot_deflected","shot_end_location","shot_first_time","shot_freeze_frame","shot_gk_positioning_xg_suppression","shot_gk_save_difficulty_xg","shot_gk_shot_stopping_xg_suppression","shot_key_pass_id","shot_one_on_one","shot_outcome","shot_shot_execution_xg","shot_shot_execution_xg_uplift","shot_statsbomb_xg","shot_technique","shot_type","substitution_outcome","substitution_replacement","tactics","team","team_id","timestamp","type","under_pressure","pass_goal_assist","shot_open_goal","shot_shot_goal_assist","ball_recovery_offensive","foul_committed_penalty","shot_shot_shot_assist","goalkeeper_shot_saved_to_post","shot_saved_to_post","dribble_nutmeg","foul_won_penalty","goalkeeper_punched_out","pass_deflected","pass_miscommunication","pass_straight","half_start_late_video_start","goalkeeper_shot_saved_off_target","shot_redirect","shot_saved_off_target","dribble_no_touch","goalkeeper_success_in_play","goalkeeper_success_out","player_off_permanent","goalkeeper_lost_out","shot_follows_dribble","goalkeeper_lost_in_play","shot_kick_off","spad_x","spad_y"
"1352",65276,223347,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"581dee54-6e59-4fc4-b943-0b7725a702bb",568,"","","[69.0, 78.4]",3901976,13,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",26,"Kaizer Chiefs FC",3709,"['01c11bc9-16ab-4e90-92bf-5a851384d89b']",15,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:13:15.705","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",59.7566666666667,1.40249999999999
"1353",65281,223362,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"c2cc7b52-3951-4189-9ef6-37d7505bcc19",633,"","","[62.0, 77.4]",3901976,14,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",29,"Kaizer Chiefs FC",3709,"['b1b988dc-e82d-4216-8dac-bb2e49b484d5']",19,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:14:19.847","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",53.69,2.25249999999998
"1354",65282,223364,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"d23896de-77d9-4d71-8f6e-43cda1e41116",638,"","","[62.9, 78.8]",3901976,14,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",29,"Kaizer Chiefs FC",3709,"['1ce962e3-3590-4d43-a686-37b14931823a']",22,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:14:22.624","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",54.47,1.0625
"1355",65284,223375,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"7a73ba0d-f09c-466c-ae79-c21fc835fe85",675,"","","[64.5, 75.4]",3901976,14,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",29,"Kaizer Chiefs FC",3709,"['807f91e2-6879-4b88-9192-330863bfcd71']",55,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:14:55.240","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",55.8566666666667,3.95249999999999
"1356",65286,223383,"","","Incomplete","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"e6beabd8-9161-4add-881f-c6fb1991e7e7",697,"","","[98.5, 64.0]",3901976,15,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",29,"Kaizer Chiefs FC",3709,"['15ee306e-6c51-4739-928b-7b26fe8aba51']",19,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:15:19.680","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",85.3233333333333,13.6425
"1357",65290,223397,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"5cb7f3fd-dec8-4e5d-b83a-cee4741aabbe",744,"","","[100.9, 27.5]",3901976,16,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",31,"Kaizer Chiefs FC",3709,"['0c071ef1-03bc-42b5-b82c-4e7199af7455']",2,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:16:02.272","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",87.4033333333333,44.6675
"1358",65293,223409,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"cf10bcfa-8efc-411a-a97a-cacc7c035090",795,"","","[112.4, 35.4]",3901976,17,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",34,"Kaizer Chiefs FC",3709,"['58f910b4-80cc-447e-8352-96381fcd8830', 'c2adcea9-3f29-44b8-949e-690c113239a5']",20,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:17:20.780","Ball Receipt*","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",97.37,37.9525
"1359",65295,223415,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"2c804509-b4f3-4b8f-b975-1aa07e4c99ad",814,"","","[40.9, 76.5]",3901976,18,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Throw In","Ashley Du Preez",66714,"Center Forward",37,"Kaizer Chiefs FC",3709,"['e47ee4aa-bb3d-45a1-a87e-80359cd29705']",21,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:18:21.085","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",35.4033333333333,3.0175
"1360",65296,223417,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"ad8e9339-0b65-4760-8d0b-5d9893a16b67",818,"","","[39.2, 77.9]",3901976,18,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Throw In","Ashley Du Preez",66714,"Center Forward",37,"Kaizer Chiefs FC",3709,"['d9398437-b723-4610-ada3-22a3b6cce630']",22,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:18:22.740","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",33.93,1.82749999999999
"1361",65298,223420,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"4532c7cc-cae8-418e-9b31-230203454b6d",829,"","","[81.2, 78.1]",3901976,18,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Throw In","Ashley Du Preez",66714,"Center Forward",37,"Kaizer Chiefs FC",3709,"['40537d74-a0b1-492a-8076-3abe97cabea1', '66507ff0-c311-4b7c-b894-b9296b0b6afb']",31,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:18:31.666","Ball Receipt*","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",70.33,1.6575
"1362",65299,223447,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"73f43ab8-598c-4470-b69d-a1ce15ec4115",919,"","","[97.0, 8.5]",3901976,20,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Throw In","Ashley Du Preez",66714,"Center Forward",41,"Kaizer Chiefs FC",3709,"['8e4b3463-da63-4ca6-af93-d370b6868e28']",23,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:20:23.221","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",84.0233333333333,60.8175
"1363",65314,223534,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"32baef72-cc9c-4948-8567-c2b7096aef23",1225,"","","[114.2, 8.0]",3901976,26,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",48,"Kaizer Chiefs FC",3709,"['0a374e67-29eb-449d-990b-b21a329d0fc1']",50,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:26:50.895","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",98.93,61.2425
"1364",65315,223536,"","","Incomplete","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"bb48d5c5-43a5-4969-973a-5773b16e1bfb",1230,"","","[112.9, 2.7]",3901976,26,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",48,"Kaizer Chiefs FC",3709,"['40c42c9f-56bd-45fd-9e2a-6e582d1c2c32']",54,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:26:54.421","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",97.8033333333333,65.7475
"1365",65317,223557,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"58aa9ce6-6381-4421-ba8d-4667d6ba5d03",1301,"","","[106.2, 19.0]",3901976,29,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Keeper","Ashley Du Preez",66714,"Center Forward",54,"Kaizer Chiefs FC",3709,"['d6e8d2cf-b0a3-4b8f-90a6-552236eb6180']",54,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:29:54.883","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",91.9966666666667,51.8925
"1366",65318,223562,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"4cda281b-f023-470f-b1af-4df9d8253d01",1315,"","","[102.3, 4.5]",3901976,30,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"From Keeper","Ashley Du Preez",66714,"Center Forward",54,"Kaizer Chiefs FC",3709,"['12ae221f-f63d-4c72-8a13-af51d021f288']",6,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:30:06.072","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",88.6166666666667,64.2175
"1367",65325,223590,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"775f1d9a-397a-4b04-9763-096ecfb2dd7f",1408,"","","[73.3, 24.4]",3901976,31,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",56,"Kaizer Chiefs FC",3709,"['2f915ab9-745e-4536-9b5c-2e1cd3a0fb77']",40,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:31:40.606","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",63.4833333333333,47.3025
"1368",65339,223651,"","","","","","",NA,"","","","","",NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,"4a57acf9-65b6-4226-b7a9-d2695f40e9e8",1644,"","","[95.7, 75.8]",3901976,43,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","","",NA,"",NA,NA,"","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",76,"Kaizer Chiefs FC",3709,"['deb9399b-c4fe-4280-82b2-a8eea8dd938d']",20,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Kaizer Chiefs FC",3709,"00:43:20.997","Ball Receipt*","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",82.8966666666667,3.6125
