player_name,team_name,player_season_minutes,primary_position,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_obv_pass_90,player_season_op_xa_90,player_season_op_key_passes_90,player_season_touches_inside_box_90,player_season_obv_dribble_carry_90,player_season_turnovers_90,player_season_padj_pressures_90,player_season_aerial_wins_90,player_season_counterpressure_regains_90,through_balls_received,through_balls_per_90
Kamogelo Sebelebele,,,,,,,,,,,,,,,,,6.0,0.34809511907985924
Menzi Alson Masuku,,,,,,,,,,,,,,,,,2.0,0.34794935179645375
Orebotse Mongae,,,,,,,,,,,,,,,,,5.0,0.3437783036974663
Nduduzo Sibiya,,,,,,,,,,,,,,,,,7.0,0.34152515571839476
Darwin Jesús González Mendoza,,,,,,,,,,,,,,,,,8.0,0.336920923480036
Moses Mthembu,,,,,,,,,,,,,,,,,2.0,0.32903752903344896
Msindisi Ndlovu,,,,,,,,,,,,,,,,,1.0,0.3243243278305333
Tshediso Patjie,,,,,,,,,,,,,,,,,4.0,0.31908763909528765
Lebohang Kgosana Maboe,,,,,,,,,,,,,,,,,1.0,0.31800248646144164
Mduduzi Mdantsane,,,,,,,,,,,,,,,,,4.0,0.3166645093896964
Amigo Luvuyo Memela,,,,,,,,,,,,,,,,,5.0,0.31376014900343974
Jaeden Rhodes,,,,,,,,,,,,,,,,,3.0,0.3104578342378695
Velemseni Ndwandwe,,,,,,,,,,,,,,,,,7.0,0.30404671408463396
Sibusiso Sibeko,,,,,,,,,,,,,,,,,3.0,0.3011432905023923
Joseph Malongoane,,,,,,,,,,,,,,,,,2.0,0.2899562419786324
Celimpilo Ngema,,,,,,,,,,,,,,,,,7.0,0.2810304487257337
Tebogo Potsane,,,,,,,,,,,,,,,,,4.0,0.2757986542956261
Antonio Van Wyk,,,,,,,,,,,,,,,,,4.0,0.2723489923563894
Lesiba William Nku,,,,,,,,,,,,,,,,,3.0,0.27055915920314194
Marcelo Ivan Allende Bravo,,,,,,,,,,,,,,,,,4.0,0.268033296972383
Lehlogonolo George Matlou,,,,,,,,,,,,,,,,,1.0,0.2640070177289425
Gamphani Jones Lungu,,,,,,,,,,,,,,,,,5.0,0.2604619354936845
Mduduzi Shabalala,,,,,,,,,,,,,,,,,3.0,0.2497610411239047
Sanele Barns,,,,,,,,,,,,,,,,,6.0,0.24387674274320362
Bandile Shandu,,,,,,,,,,,,,,,,,3.0,0.2416467744384431
Katlego Otladisa,,,,,,,,,,,,,,,,,6.0,0.23945902375190067
Jayden Adams,,,,,,,,,,,,,,,,,5.0,0.23840638112797974
Juan Camilo Zapata Londoño,,,,,,,,,,,,,,,,,2.0,0.23282385652928314
Meshack Maphangule,,,,,,,,,,,,,,,,,1.0,0.23149141096260448
Bernard Parker,,,,,,,,,,,,,,,,,5.0,0.22175135047681196
Levy Mashiane,,,,,,,,,,,,,,,,,1.0,0.2194765077064896
Ndiviwe Mdabuka,,,,,,,,,,,,,,,,,1.0,0.2128749902050895
Andile Mbenyane,,,,,,,,,,,,,,,,,2.0,0.21051401733898703
Siphelele Luthuli,,,,,,,,,,,,,,,,,4.0,0.2053212281412454
Siboniso Conco,,,,,,,,,,,,,,,,,1.0,0.2036429276033101
Elias Mokwana,,,,,,,,,,,,,,,,,3.0,0.19986430546087908
Thamsanqa Tshiamo Masiya,,,,,,,,,,,,,,,,,1.0,0.19398639460902498
Sammy Maphoko Seabi,,,,,,,,,,,,,,,,,3.0,0.19101520506501013
Wayde  Jooste,,,,,,,,,,,,,,,,,2.0,0.18653171967229734
Thamsanqa Innocent Mkhize,,,,,,,,,,,,,,,,,4.0,0.18082728119492114
Pule Sydney Mmodi,,,,,,,,,,,,,,,,,5.0,0.18058146799298216
Thabo Matlaba,,,,,,,,,,,,,,,,,4.0,0.18045714124849632
Patrick Maswanganyi,,,,,,,,,,,,,,,,,3.0,0.17984614162583912
Vusimuzi William Mncube,,,,,,,,,,,,,,,,,3.0,0.17306213957646155
Mfundo Langa Thikazi,,,,,,,,,,,,,,,,,2.0,0.1730297940867587
Sandile Mthethwa,,,,,,,,,,,,,,,,,1.0,0.1702503369466981
Ndabayithethwa Ndlondlo,,,,,,,,,,,,,,,,,3.0,0.16304347826086957
Thapelo Maseko,,,,,,,,,,,,,,,,,3.0,0.15969720558103404
Ronaldo Claudio Maarman,,,,,,,,,,,,,,,,,2.0,0.1596664503984596
Thabo Qalinge,,,,,,,,,,,,,,,,,1.0,0.15357049952475305
Terrence Mashego,,,,,,,,,,,,,,,,,1.0,0.1481928606785271
Nkosingiphile Nhlakanipho Ngcobo,,,,,,,,,,,,,,,,,1.0,0.13419483915097932
Khuliso Johnson Mudau,,,,,,,,,,,,,,,,,3.0,0.1329808984907599
Siyabonga Given Khumalo,,,,,,,,,,,,,,,,,1.0,0.13046944209961864
Elias Gaspar Pelembe,,,,,,,,,,,,,,,,,2.0,0.12605630456110786
Thabo Nodada,,,,,,,,,,,,,,,,,2.0,0.11735685602860407
Samkelo Zwane,,,,,,,,,,,,,,,,,1.0,0.11722565328684319
Dillon Peter Solomons,,,,,,,,,,,,,,,,,2.0,0.11633669701503303
Sphesihle Maduna,,,,,,,,,,,,,,,,,1.0,0.11589722882772038
Rowan Lancaster Human,,,,,,,,,,,,,,,,,2.0,0.10862459161905876
Moegamat Yusuf Maart,,,,,,,,,,,,,,,,,3.0,0.10584982217759124
Goodman Mosele,,,,,,,,,,,,,,,,,1.0,0.10526520779615182
Siyethemba Sithebe,,,,,,,,,,,,,,,,,2.0,0.1015066221905251
Dean David van Rooyen,,,,,,,,,,,,,,,,,3.0,0.09889266585618632
Andre Ernest De Jong,,,,,,,,,,,,,,,,,1.0,0.0925101095510268
Neo Maema,,,,,,,,,,,,,,,,,2.0,0.09172753820761548
Innocent Maela,,,,,,,,,,,,,,,,,2.0,0.08948324855690365
Mpho Mvelase,,,,,,,,,,,,,,,,,1.0,0.08667875777551796
Cyril Thato Lingwati,,,,,,,,,,,,,,,,,1.0,0.08460501008872444
Mokete Mogaila,,,,,,,,,,,,,,,,,2.0,0.08288946027356837
Xola Mlambo,,,,,,,,,,,,,,,,,1.0,0.07986512377896209
Sihle Nduli,,,,,,,,,,,,,,,,,1.0,0.07728528033438559
Abdi Banda,,,,,,,,,,,,,,,,,1.0,0.07591946827219134
Onassis Linda Mntambo,,,,,,,,,,,,,,,,,1.0,0.07537162166490938
Riaan Hanamub,,,,,,,,,,,,,,,,,2.0,0.07169028963271308
Azola Matrose,,,,,,,,,,,,,,,,,1.0,0.06965045986367872
Mbhazima Tshepo Rikhotso,,,,,,,,,,,,,,,,,1.0,0.06838906346717095
Sibongiseni Mthethwa,,,,,,,,,,,,,,,,,2.0,0.06809454573583783
Siyabonga Nhlapo,,,,,,,,,,,,,,,,,1.0,0.06721518740602477
Mbulelo Strydom Wambi,,,,,,,,,,,,,,,,,1.0,0.06370553974454843
Kabelo Mahlasela,,,,,,,,,,,,,,,,,1.0,0.06303771565438916
Lyle Lakay,,,,,,,,,,,,,,,,,1.0,0.060441896020694136
Kabelo Dlamini,,,,,,,,,,,,,,,,,1.0,0.05826248227072665
Ibraheem Olalekan Jabaar,,,,,,,,,,,,,,,,,1.0,0.05499149254114642
Reeve Frosler,,,,,,,,,,,,,,,,,1.0,0.05359216203911745
Siyanda Msani,,,,,,,,,,,,,,,,,1.0,0.05288828756081227
Ramahlwe Mphahlele,,,,,,,,,,,,,,,,,1.0,0.050692800765582954
Lesego Samuel Manganyi,,,,,,,,,,,,,,,,,1.0,0.04803073967339097
Thabiso Lebitso,,,,,,,,,,,,,,,,,1.0,0.04676539433773023
George Nyiko Maluleka,,,,,,,,,,,,,,,,,1.0,0.04609789819860017
Teboho Mokoena,,,,,,,,,,,,,,,,,1.0,0.04466723069467773
Fawaaz Basadien,,,,,,,,,,,,,,,,,1.0,0.043848965745407205
Thulani Hlatshwayo,,,,,,,,,,,,,,,,,1.0,0.043556114583767534
Divine Lunga,,,,,,,,,,,,,,,,,1.0,0.0395650800660721
Nyiko Mobbie,,,,,,,,,,,,,,,,,1.0,0.03707314490709711
Nkosinathi Sibisi,,,,,,,,,,,,,,,,,1.0,0.03541239504651418
