"","player","type","duel_outcome","interception_outcome","spad_x","spad_y"
"97","Iqraam Rayners","Pass","","",77.5233333333333,27.3275
"98","Iqraam Rayners","Pass","","",82.55,59.4575
"99","Iqraam Rayners","Pass","","",91.91,22.9075
"100","Iqraam Rayners","Pass","","",82.03,47.8975
"101","Iqraam Rayners","Pass","","",84.63,24.0125
"102","Iqraam Rayners","Pass","","",76.05,54.1025
"103","Iqraam Rayners","Pass","","",73.0166666666667,38.3775
"104","Iqraam Rayners","Pass","","",84.9766666666667,20.3575
"105","Iqraam Rayners","Pass","","",62.7033333333333,11.7725
"106","Iqraam Rayners","Pass","","",97.7166666666667,52.4875
"107","Iqraam Rayners","Pass","","",81.4233333333333,58.3525
"108","Iqraam Rayners","Pass","","",54.3833333333333,16.4475
"109","Iqraam Rayners","Pass","","",96.7633333333333,5.65249999999999
"110","Iqraam Rayners","Pass","","",95.9833333333333,0.042500000000004
"111","Iqraam Rayners","Pass","","",89.6566666666667,5.3125
"112","Iqraam Rayners","Pass","","",80.3833333333333,34.1275
"113","Iqraam Rayners","Pass","","",75.53,61.8375
"114","Iqraam Rayners","Pass","","",84.8033333333333,67.9575
"115","Iqraam Rayners","Ball Receipt*","","",86.3633333333333,33.0225
"116","Iqraam Rayners","Ball Receipt*","","",63.1366666666667,48.6625
"117","Iqraam Rayners","Ball Receipt*","","",83.33,17.2125
"118","Iqraam Rayners","Ball Receipt*","","",82.3766666666667,27.6675
"119","Iqraam Rayners","Ball Receipt*","","",94.5966666666667,21.6325
"120","Iqraam Rayners","Ball Receipt*","","",83.1566666666667,56.9075
"121","Iqraam Rayners","Ball Receipt*","","",97.37,24.6075
"122","Iqraam Rayners","Ball Receipt*","","",88.01,11.9425
"123","Iqraam Rayners","Ball Receipt*","","",86.5366666666667,39.9925
"124","Iqraam Rayners","Ball Receipt*","","",62.1833333333333,45.3475
"125","Iqraam Rayners","Ball Receipt*","","",75.4433333333333,49.3425
"126","Iqraam Rayners","Ball Receipt*","","",68.1633333333333,11.7725
"127","Iqraam Rayners","Ball Receipt*","","",94.3366666666667,24.4375
"128","Iqraam Rayners","Ball Receipt*","","",85.2366666666667,49.5125
"129","Iqraam Rayners","Ball Receipt*","","",80.5566666666667,54.6975
"130","Iqraam Rayners","Ball Receipt*","","",81.0766666666667,39.0575
"131","Iqraam Rayners","Ball Receipt*","","",95.1166666666667,22.9075
"132","Iqraam Rayners","Ball Receipt*","","",77.5233333333333,27.3275
"133","Iqraam Rayners","Ball Receipt*","","",63.31,50.1075
"134","Iqraam Rayners","Ball Receipt*","","",82.2033333333333,59.2875
"135","Iqraam Rayners","Ball Receipt*","","",91.91,22.9075
"136","Iqraam Rayners","Ball Receipt*","","",84.63,49.5125
"137","Iqraam Rayners","Ball Receipt*","","",81.4233333333333,32.5125
"138","Iqraam Rayners","Ball Receipt*","","",91.0433333333333,18.9125
"139","Iqraam Rayners","Ball Receipt*","","",81.6833333333333,48.0675
"140","Iqraam Rayners","Ball Receipt*","","",84.11,24.4375
"141","Iqraam Rayners","Ball Receipt*","","",75.8766666666667,54.3575
"142","Iqraam Rayners","Ball Receipt*","","",73.19,40.5875
"143","Iqraam Rayners","Ball Receipt*","","",84.2833333333333,18.1475
"144","Iqraam Rayners","Ball Receipt*","","",75.53,7.0125
"145","Iqraam Rayners","Ball Receipt*","","",63.4833333333333,11.4325
"146","Iqraam Rayners","Ball Receipt*","","",94.9433333333333,54.8675
"147","Iqraam Rayners","Ball Receipt*","","",81.8566666666667,58.3525
"148","Iqraam Rayners","Ball Receipt*","","",73.3633333333333,32.8525
"149","Iqraam Rayners","Ball Receipt*","","",55.4233333333333,7.35249999999999
"150","Iqraam Rayners","Ball Receipt*","","",73.5366666666667,25.1175
"151","Iqraam Rayners","Ball Receipt*","","",93.0366666666667,4.7175
"152","Iqraam Rayners","Ball Receipt*","","",95.3766666666667,32.2575
"153","Iqraam Rayners","Ball Receipt*","","",83.9366666666667,15.2575
"154","Iqraam Rayners","Ball Receipt*","","",91.8233333333333,2.7625
"155","Iqraam Rayners","Ball Receipt*","","",63.6566666666667,44.0725
"156","Iqraam Rayners","Ball Receipt*","","",82.7233333333333,24.7775
"157","Iqraam Rayners","Ball Receipt*","","",56.9833333333333,10.8375
"158","Iqraam Rayners","Ball Receipt*","","",90.09,30.5575
"159","Iqraam Rayners","Ball Receipt*","","",83.59,49.2575
"160","Iqraam Rayners","Ball Receipt*","","",64.5233333333333,26.2225
"161","Iqraam Rayners","Ball Receipt*","","",72.15,26.8175
"162","Iqraam Rayners","Ball Receipt*","","",77.0033333333333,35.9125
"163","Iqraam Rayners","Ball Receipt*","","",90.87,15.2575
"164","Iqraam Rayners","Ball Receipt*","","",96.59,32.6825
"165","Iqraam Rayners","Ball Receipt*","","",93.21,40.7575
"166","Iqraam Rayners","Ball Receipt*","","",76.1366666666667,48.4075
"167","Iqraam Rayners","Ball Receipt*","","",74.9233333333333,57.3325
"168","Iqraam Rayners","Ball Receipt*","","",69.3766666666667,62.9425
"169","Iqraam Rayners","Ball Receipt*","","",84.5433333333333,65.8325
"170","Iqraam Rayners","Ball Receipt*","","",90.2633333333333,27.2425
"171","Iqraam Rayners","Carry","","",88.01,11.9425
"172","Iqraam Rayners","Carry","","",68.1633333333333,11.7725
"173","Iqraam Rayners","Carry","","",81.0766666666667,39.0575
"174","Iqraam Rayners","Carry","","",95.1166666666667,22.9075
"175","Iqraam Rayners","Carry","","",63.31,50.1075
"176","Iqraam Rayners","Carry","","",91.91,22.9075
"177","Iqraam Rayners","Carry","","",84.63,49.5125
"178","Iqraam Rayners","Carry","","",91.0433333333333,18.9125
"179","Iqraam Rayners","Carry","","",84.9766666666667,18.4875
"180","Iqraam Rayners","Carry","","",75.8766666666667,54.3575
"181","Iqraam Rayners","Carry","","",73.19,40.5875
"182","Iqraam Rayners","Carry","","",84.2833333333333,18.1475
"183","Iqraam Rayners","Carry","","",94.9433333333333,54.8675
"184","Iqraam Rayners","Carry","","",81.8566666666667,58.3525
"185","Iqraam Rayners","Carry","","",55.4233333333333,7.35249999999999
"186","Iqraam Rayners","Carry","","",73.5366666666667,25.1175
"187","Iqraam Rayners","Carry","","",93.0366666666667,4.7175
"188","Iqraam Rayners","Carry","","",91.8233333333333,2.7625
"189","Iqraam Rayners","Carry","","",89.2233333333333,21.4625
"190","Iqraam Rayners","Carry","","",72.15,26.8175
