"","player","type","duel_outcome","interception_outcome","spad_x","spad_y"
"100","Iqraam Rayners","Pressure","","",49.79,47.8125
"101","Iqraam Rayners","Pressure","","",65.9966666666667,31.1525
"102","Iqraam Rayners","Pressure","","",64.9566666666667,50.5325
"103","Iqraam Rayners","Pressure","","",93.1233333333333,38.2075
"104","Iqraam Rayners","Pressure","","",87.75,11.1775
"105","Iqraam Rayners","Pressure","","",69.3766666666667,2.1675
"106","Iqraam Rayners","Pressure","","",91.13,31.1525
"107","Iqraam Rayners","Pressure","","",93.1233333333333,14.9175
"108","Iqraam Rayners","Pressure","","",58.8033333333333,36.5075
"109","Iqraam Rayners","Pressure","","",88.7033333333333,36.1675
"110","Iqraam Rayners","Pressure","","",76.7433333333333,8.20249999999999
"111","Iqraam Rayners","Pressure","","",86.71,44.6675
"112","Iqraam Rayners","Pressure","","",24.4833333333333,14.3225
"113","Iqraam Rayners","Pressure","","",93.5566666666667,7.8625
"114","Iqraam Rayners","Pressure","","",91.8233333333333,46.7925
"115","Iqraam Rayners","Pressure","","",56.03,25.6275
"116","Iqraam Rayners","Pressure","","",79.69,21.6325
"117","Iqraam Rayners","Pressure","","",93.6433333333333,22.3975
"118","Iqraam Rayners","Pressure","","",95.55,30.0475
"119","Iqraam Rayners","Pressure","","",80.9033333333333,22.3125
"120","Iqraam Rayners","Pressure","","",67.47,45.7725
"121","Iqraam Rayners","Pressure","","",94.8566666666667,25.6275
"122","Iqraam Rayners","Pressure","","",94.1633333333333,48.8325
"123","Iqraam Rayners","Pressure","","",77.9566666666667,26.1375
"124","Iqraam Rayners","Duel","","",66.2566666666667,54.0175
"125","Iqraam Rayners","Duel","","",91.13,33.3625
"126","Iqraam Rayners","Duel","","",55.51,21.2925
"127","Iqraam Rayners","Interception","","Won",90.61,46.4525
"128","Iqraam Rayners","Pressure","","",83.9366666666667,16.6175
"129","Iqraam Rayners","Pressure","","",86.97,47.7275
"130","Iqraam Rayners","Pressure","","",72.8433333333333,34.0425
"131","Iqraam Rayners","Pressure","","",89.31,56.8225
"132","Iqraam Rayners","Pressure","","",95.1166666666667,5.7375
"133","Iqraam Rayners","Pressure","","",67.99,33.7025
"134","Iqraam Rayners","Pressure","","",55.5966666666667,34.6375
"135","Iqraam Rayners","Pressure","","",84.89,49.5125
"136","Iqraam Rayners","Pressure","","",63.57,38.4625
"137","Iqraam Rayners","Pressure","","",78.2166666666667,42.6275
"138","Iqraam Rayners","Pressure","","",67.1233333333333,14.4075
"139","Iqraam Rayners","Pressure","","",91.7366666666667,42.5425
"140","Iqraam Rayners","Pressure","","",54.21,49.9375
"141","Iqraam Rayners","Pressure","","",56.55,27.1575
"142","Iqraam Rayners","Duel","","",76.9166666666667,54.4425
"143","Iqraam Rayners","Duel","","",78.2166666666667,50.6175
"144","Iqraam Rayners","Duel","","",59.5833333333333,22.8225
"145","Iqraam Rayners","Duel","","",38.1766666666667,17.8925
"146","Iqraam Rayners","Duel","","",30.3766666666667,25.2025
"147","Iqraam Rayners","Duel","","",67.1233333333333,23.1625
"148","Iqraam Rayners","Pressure","","",47.71,5.1425
"149","Iqraam Rayners","Pressure","","",48.9233333333333,3.10249999999999
"150","Iqraam Rayners","Pressure","","",81.8566666666667,16.9575
"151","Iqraam Rayners","Pressure","","",69.8966666666667,17.2975
"152","Iqraam Rayners","Pressure","","",82.3766666666667,18.5725
"153","Iqraam Rayners","Pressure","","",44.9366666666667,52.2325
"154","Iqraam Rayners","Pressure","","",58.8033333333333,28.4325
"155","Iqraam Rayners","Pressure","","",78.13,25.5425
"156","Iqraam Rayners","Pressure","","",80.47,29.1125
"157","Iqraam Rayners","Pressure","","",56.4633333333333,59.2025
"158","Iqraam Rayners","Pressure","","",70.59,21.6325
"159","Iqraam Rayners","Pressure","","",69.81,20.6125
"160","Iqraam Rayners","Pressure","","",53.43,26.1375
"161","Iqraam Rayners","Duel","","",54.1233333333333,64.0475
"162","Iqraam Rayners","Duel","","",83.07,15.5125
"163","Iqraam Rayners","Duel","","",67.3833333333333,61.4975
"164","Iqraam Rayners","Duel","","",57.59,24.1825
"165","Ashley Du Preez","Pressure","","",75.27,59.8825
"166","Ashley Du Preez","Pressure","","",76.57,63.4525
"167","Ashley Du Preez","Pressure","","",92.69,56.4825
"168","Ashley Du Preez","Pressure","","",86.71,26.3925
"169","Ashley Du Preez","Pressure","","",66.69,62.6025
"170","Ashley Du Preez","Pressure","","",98.93,47.5575
"171","Ashley Du Preez","Pressure","","",38.09,10.5825
"172","Ashley Du Preez","Pressure","","",38.35,8.8825
"173","Ashley Du Preez","Pressure","","",22.0566666666667,14.2375
